"CWNS_ID","FACILITY_ID","STATE_CODE","CONGRESSIONAL_DISTRICT_ID","CD_PRIMARY_FLAG"
"40000550001",1236881,OK,"4003",Y
"56000078001",1238685,WY,"5600",Y
"24000046001",2985382,MD,"2401",Y
"39002587010",2990523,OH,"3909",Y
"01000010001",1101837,AL,"0105",Y
"01000349001",1102161,AL,"0101",Y
"17000517001",1113794,IL,"1716",Y
"17000551001",1113828,IL,"1709",Y
"17005500001",1114229,IL,"1712",Y
"18000152001",1120132,IN,"1801",Y
"18002120001",1120271,IN,"1804",Y
"36003112001",1220545,NY,"3619",Y
"36005055001",1220866,NY,"3621",Y
"36005057001",1220868,NY,"3621",Y
"36006002001",1220932,NY,"3621",Y
"42005074001",1227222,PA,"4215",Y
"20000808001",1230909,KS,"2002",Y
"27000253001",1231502,MN,"2707",Y
"36005051001",1232133,NY,"3621",Y
"29002473001",1233261,MO,"2904",Y
"13000062005",1109060,GA,"1301",Y
"17000015001",1113307,IL,"1712",Y
"17000364001",1113632,IL,"1717",Y
"17000525001",1113802,IL,"1710",Y
"17000711002",1113982,IL,"1708",Y
"17003514001",1114153,IL,"1712",Y
"18000057001",1120096,IN,"1806",Y
"18000104001",1120116,IN,"1801",Y
"19000071001",1123513,IA,"1902",Y
"19000280001",1123694,IA,"1904",Y
"20000912001",1130428,KS,"2002",Y
"06008010004",3486590,CA,"0635",Y
"08209000015",3500166,CO,"0803",Y
"08209000073",3500225,CO,"0803",Y
"08209000103",3500255,CO,"0804",Y
"12000700063",3500475,FL,"1203",Y
"12000701009",3501018,FL,"1212",Y
"53200802010",3506081,WA,"5309",Y
"19001406001",3508821,IA,"1904",Y
"29004100001",1134110,MO,"2904",Y
"21000122001",1139590,KY,"2104",Y
"19001026001",1124305,IA,"1902",Y
"31000952001",1145887,NE,"3101",Y
"27001609001",1148228,MN,"2708",Y
"27008212001",1148439,MN,"2707",Y
"38000037001",1151290,ND,"3800",Y
"22009079032",3188930,LA,"2205",Y
"29001148006",3213328,MO,"2906",Y
"12000700047",3500441,FL,"1218",Y
"12000701037",3501061,FL,"1203",Y
"12000701041",3501083,FL,"1206",Y
