"FACILITY_DOCUMENT_ID","DOCUMENT_ID","CWNS_ID","FACILITY_ID","STATE_CODE","DOCUMENT_TYPE_ID","DOCUMENT_TYPE","PUBLISHED_DATE","BASE_MONTH_COST_INFO","CERT_FLAG","SELF_CERT_FLAG","AGE_CERT"
9160,5938,"27000165001",1148030,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9368,5938,"27003714001",1148307,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
10259,5938,"27003109001",1231523,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
10360,5938,"27000204001",1148066,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9729,5938,"27000365001",1148182,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9350,5938,"27000094001",1147974,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9300,5938,"27009906001",1148583,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
8948,5938,"27000348001",1148169,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
10160,5938,"27000309001",1148134,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9726,5938,"27003315001",1148286,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
10253,5938,"27043000002",3335355,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9295,5938,"27000144001",1148013,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
10433,5938,"27001614001",1148232,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
8746,5938,"27000237001",1148093,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
8643,5938,"27005309001",1148333,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
8950,5938,"27009403001",1148481,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9881,5938,"27001314001",1231517,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
8642,5938,"27001503001",1148216,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
10236,5938,"27005702001",1148359,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
8667,5938,"27007411001",1148417,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9949,5938,"27000188001",1148051,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
10001,5938,"27005213001",1148332,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
8927,5938,"27000164001",1148029,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9386,5938,"27005504001",1148345,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9299,5938,"27009404001",1148482,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
