"CWNS_ID","FACILITY_ID","STATE_CODE","IMPLEMENTATION_STATUS","REMAINING_COST","ANNUAL_COST"
"54003206001",1095097,WV,Considering Implementation,30000,0
"13000000152",3607065,GA,In Process of Developing,6000000,1000000
"23000088001",1142526,ME,Fully Implemented,0,0
"30000040001",1159108,MT,Considering Implementation,0,0
"04000505031",3160948,AZ,Fully Implemented,0,0
"04002709001",1069675,AZ,Fully Implemented,0,0
"54000205001",3515738,WV,Not Considering Implementation,0,0
"12000001034",3513460,FL,Not Considering Implementation,0,0
"25000192001",1092476,MA,Fully Implemented,0,0
"54000604001",1094744,WV,Fully Implemented,0,35000
"54002804001",1095035,WV,Considering Implementation,30000,1000
"54001721001",1094863,WV,Considering Implementation,30000,0
"04001312003",1069444,AZ,Fully Implemented,0,0
"23000047001",1142482,ME,Fully Implemented,0,0
"23000078001",1142516,ME,Not Considering Implementation,0,0
"23000227001",1142630,ME,Not Considering Implementation,0,0
"04001341003",3031523,AZ,Fully Implemented,0,0
"54001402001",1094820,WV,Considering Implementation,30000,0
"54001602001",1094838,WV,Considering Implementation,30000,0
"25000049001",1092352,MA,In Process of Developing,35000,10000
"25000216001",1092501,MA,Fully Implemented,0,0
"54002004001",1094896,WV,In Process of Developing,20000,0
"54002315001",1094959,WV,Not Considering Implementation,0,0
"51000308012",1192952,VA,Fully Implemented,0,4500000
"12000136020",3503241,FL,Not Considering Implementation,0,0
"54001018001",1094777,WV,Considering Implementation,30000,0
"54002001001",1094894,WV,In Process of Developing,12000,0
"54004799001",1095262,WV,Not Considering Implementation,0,0
"54003506001",1095135,WV,Considering Implementation,30000,0
"04002103001",1069581,AZ,In Process of Developing,0,0
"54002903001",3513797,WV,Considering Implementation,30000,0
"23000001010",1142430,ME,In Process of Developing,0,0
"23000087001",1142525,ME,Fully Implemented,0,0
"51000010001",1192592,VA,In Process of Developing,0,0
"04002701005",3511376,AZ,Fully Implemented,0,0
"54005409002",3513601,WV,Fully Implemented,0,10000
"25000243001",1092528,MA,Fully Implemented,0,0
"54002025001",1094910,WV,Fully Implemented,0,0
"54004701001",1095257,WV,Considering Implementation,30000,0
"04002801028",3536776,AZ,Fully Implemented,0,0
"04002801004",3157278,AZ,Not Considering Implementation,0,0
"23000090001",1142529,ME,Fully Implemented,0,0
"54001205001",1239022,WV,Considering Implementation,30000,0
"54002505004",3040448,WV,Considering Implementation,30000,0
"12000001048",1078120,FL,Not Considering Implementation,0,0
"54001030003",1094782,WV,Considering Implementation,30000,0
